"","taxon","p_mean","n_mean","log2fold","glm.nb_est","glm.nb_stderr","glm.nb_zval","glm.nb_pval"
"265","Luellia",0.000396854596872754,0.0157026425401911,-5.30625303848564,-3.67801433296396,5.76891627766849,-0.637557238818246,0.523761938803248
"266","Lycoperdaceae",0.00443929389007648,0.00304033114368863,0.546101754888215,0.378528891699605,5.47983764347911,0.0690766618149804,0.944928597819305
"267","Macrophomina",0.00953663550032266,0.00152016557184432,2.64925191079919,1.83632149256351,7.63635276244839,0.240471014067551,0.809965131498705
"268","Macrophomina phaseolina",0.00168293567652753,0.00152016557184432,0.146751570270008,0.101720437175402,8.6385907338735,0.0117751193810511,0.990605031152203
"269","Malassezia",0.0215792899862837,0.0157026425401911,0.458640031846355,0.317905044966226,2.08661088908879,0.152354733040358,0.87890715800325
"270","Malassezia arunalokei",0.00224391423537004,0.00785132127009555,-1.80691792453527,-1.25246006489485,4.7765509266398,-0.262210135332092,0.793159439833675
"271","Malassezia restricta",0.0117332431547646,0.00785132127009555,0.579594474604289,0.401744275940087,2.9407102267226,0.136614710381658,0.891335348322909
"272","Malasseziaceae",0.0236989164413164,0.0314052850803822,-0.406186267489497,-0.281546866092514,1.52656773351485,-0.184431296372462,0.853675119955477
"273","Malasseziales",0.0236989164413164,0.0314052850803822,-0.406186267489497,-0.281546866092514,1.52656773351485,-0.184431296372462,0.853675119955477
"274","Malasseziomycetes",0.0236989164413164,0.0314052850803822,-0.406186267489497,-0.281546866092514,1.52656773351485,-0.184431296372462,0.853675119955477
"275","Melanommataceae",0.00428858700551397,0.00152016557184432,1.4962739237188,1.03713805157105,7.52789558656727,0.137772640393913,0.890420107927404
"276","Melanospora",0.00448782847074008,0.00152016557184432,1.56178906954885,1.08254969018713,7.88961899612136,0.137211909817106,0.890863297277937
"277","Melanospora damnosa",0.00448782847074008,0.00152016557184432,1.56178906954885,1.08254969018713,7.88961899612136,0.137211909817106,0.890863297277937
